atom,resid,ATB_charges,BaderAA_100ps,BaderUA_100ps,BaderAA_200ps,BaderUA_200ps,BaderAA_300ps,BaderUA_300ps,BaderAA_400ps,BaderUA_400ps,BaderAA_500ps,BaderUA_500ps,BaderAA_600ps,BaderUA_600ps,BaderAA_700ps,BaderUA_700ps,BaderAA_800ps,BaderUA_800ps,BaderAA_900ps,BaderUA_900ps,BaderAA_1ns,BaderUA_1ns,Mean_100-1,Mean_600-1
CE1,terB,-0.401,-1.298670000000000102e-01,-1.298670000000000102e-01,-1.272320000000000118e-01,-1.272320000000000118e-01,-1.456000000000000003e-02,-1.456000000000000003e-02,-2.367420000000000080e-01,-2.367420000000000080e-01,-9.935499999999999887e-02,-9.935499999999999887e-02,-6.639100000000000557e-02,-6.639100000000000557e-02,-8.293399999999999384e-02,-8.293399999999999384e-02,-2.913899999999999824e-01,-2.913899999999999824e-01,-4.985200000000000048e-02,-4.985200000000000048e-02,-3.510200000000000126e-02,-3.510200000000000126e-02,-0.11334250000000001,-0.10513379999999999
HE1,terB,0.14800000000000002,2.163899999999999851e-02,2.163899999999999851e-02,7.459599999999999564e-02,7.459599999999999564e-02,6.072299999999999920e-02,6.072299999999999920e-02,1.275969999999999882e-01,1.275969999999999882e-01,1.032089999999999952e-01,1.032089999999999952e-01,2.462900000000000159e-02,2.462900000000000159e-02,7.491100000000000536e-02,7.491100000000000536e-02,5.972500000000000031e-02,5.972500000000000031e-02,5.675399999999999889e-02,5.675399999999999889e-02,5.161400000000000016e-02,5.161400000000000016e-02,0.0655397,0.0535266
HE2,terB,0.253,2.689000000000000071e-02,2.689000000000000071e-02,9.852299999999999947e-02,9.852299999999999947e-02,5.524500000000000244e-02,5.524500000000000244e-02,1.082179999999999948e-01,1.082179999999999948e-01,9.209299999999999431e-02,9.209299999999999431e-02,3.497000000000000108e-02,3.497000000000000108e-02,5.998699999999999866e-02,5.998699999999999866e-02,7.532899999999999319e-02,7.532899999999999319e-02,5.666899999999999715e-02,5.666899999999999715e-02,4.683199999999999863e-02,4.683199999999999863e-02,0.0654756,0.0547574
CD1,terB,-0.184,3.650000000000000033e-03,3.650000000000000033e-03,-1.552129999999999899e-01,-1.552129999999999899e-01,-1.960179999999999978e-01,-1.960179999999999978e-01,-8.927599999999999425e-02,-8.927599999999999425e-02,-1.765029999999999932e-01,-1.765029999999999932e-01,-1.162060000000000037e-01,-1.162060000000000037e-01,-7.369399999999999562e-02,-7.369399999999999562e-02,1.471889999999999865e-01,1.471889999999999865e-01,-1.633689999999999864e-01,-1.633689999999999864e-01,-1.224940000000000057e-01,-1.224940000000000057e-01,-0.0941934,-0.06571479999999999
HD1,terB,0.184,8.588200000000000001e-02,8.588200000000000001e-02,1.284019999999999884e-01,1.284019999999999884e-01,1.020400000000000057e-01,1.020400000000000057e-01,9.015600000000000003e-02,9.015600000000000003e-02,9.628000000000000447e-02,9.628000000000000447e-02,9.311800000000000632e-02,9.311800000000000632e-02,5.796099999999999863e-02,5.796099999999999863e-02,2.333299999999999957e-02,2.333299999999999957e-02,1.000879999999999964e-01,1.000879999999999964e-01,7.793200000000000127e-02,7.793200000000000127e-02,0.08551919999999999,0.0704864
CD2,terB,0.431,4.541339999999999821e-01,4.541339999999999821e-01,4.971349999999999936e-01,4.971349999999999936e-01,4.443599999999999772e-01,4.443599999999999772e-01,4.489060000000000272e-01,4.489060000000000272e-01,4.222389999999999755e-01,4.222389999999999755e-01,4.792580000000000173e-01,4.792580000000000173e-01,4.364750000000000019e-01,4.364750000000000019e-01,3.878340000000000121e-01,3.878340000000000121e-01,4.250490000000000101e-01,4.250490000000000101e-01,4.706219999999999848e-01,4.706219999999999848e-01,0.44660120000000003,0.43984760000000006
HD2,terB,0.055999999999999994,7.564099999999999990e-02,7.564099999999999990e-02,2.534000000000000141e-02,2.534000000000000141e-02,9.563399999999999679e-02,9.563399999999999679e-02,9.431900000000000006e-02,9.431900000000000006e-02,9.547400000000000331e-02,9.547400000000000331e-02,9.321200000000000319e-02,9.321200000000000319e-02,8.785099999999999854e-02,8.785099999999999854e-02,1.115030000000000049e-01,1.115030000000000049e-01,9.584199999999999664e-02,9.584199999999999664e-02,4.012399999999999994e-02,4.012399999999999994e-02,0.081494,0.08570639999999999
OD1,terB,-0.502,-1.013033999999999990e+00,-1.013033999999999990e+00,-9.760550000000000059e-01,-9.760550000000000059e-01,-9.768219999999999681e-01,-9.768219999999999681e-01,-1.007670999999999983e+00,-1.007670999999999983e+00,-9.885169999999999790e-01,-9.885169999999999790e-01,-1.016067999999999971e+00,-1.016067999999999971e+00,-1.008613999999999900e+00,-1.008613999999999900e+00,-9.708879999999999733e-01,-9.708879999999999733e-01,-9.903140000000000276e-01,-9.903140000000000276e-01,-9.896660000000000457e-01,-9.896660000000000457e-01,-0.9937649000000001,-0.99511
CD3,terB,-0.174,-9.201000000000000845e-03,6.675789999999999502e-02,-2.086000000000000180e-03,6.236789999999999695e-02,-1.521999999999999915e-02,3.866290000000000004e-02,-3.157000000000000084e-02,4.713189999999999741e-02,-1.823800000000000074e-02,5.464689999999999825e-02,1.460499999999999993e-02,1.089100000000000068e-01,-6.656299999999999717e-02,4.090690000000000298e-02,-6.428300000000000680e-02,1.922099999999999850e-02,-4.406000000000000194e-03,5.263990000000000336e-02,-1.868099999999999969e-02,8.604499999999999649e-02,0.05772903,0.06154455999999999
CD4,terB,-0.12,4.858900000000000025e-02,8.571389999999999565e-02,1.665200000000000014e-02,8.042290000000000549e-02,4.021799999999999681e-02,7.894299999999999928e-02,-1.169199999999999927e-02,7.015490000000000614e-02,-3.196800000000000336e-02,2.956699999999999953e-02,2.995499999999999899e-02,8.643900000000000194e-02,1.742900000000000005e-02,8.432389999999999330e-02,3.910700000000000287e-02,9.252489999999999326e-02,-2.862900000000000167e-02,5.348599999999999882e-02,-9.965999999999999165e-03,9.836390000000000411e-02,0.07599394,0.08302753999999998
